400 722
-10.0 -10.0 3.919536
-8.947368 -10.0 3.931734
-7.894737 -10.0 3.691737
-6.842105 -10.0 3.264506
-5.789474 -10.0 2.765681
-4.736842 -10.0 2.330279
-3.684211 -10.0 2.076152
-2.631579 -10.0 2.072086
-1.578947 -10.0 2.31918
-0.526316 -10.0 2.750554
0.526316 -10.0 3.249446
1.578947 -10.0 3.68082
2.631579 -10.0 3.927914
3.684211 -10.0 3.923848
4.736842 -10.0 3.669721
5.789474 -10.0 3.234319
6.842105 -10.0 2.735494
7.894737 -10.0 2.308263
8.947368 -10.0 2.068266
10.0 -10.0 2.080464
-10.0 -8.947368 3.931734
-8.947368 -8.947368 3.944094
-7.894737 -8.947368 3.700914
-6.842105 -8.947368 3.268015
-5.789474 -8.947368 2.762572
-4.736842 -8.947368 2.321395
-3.684211 -8.947368 2.063897
-2.631579 -8.947368 2.059776
-1.578947 -8.947368 2.310149
-0.526316 -8.947368 2.747245
0.526316 -8.947368 3.252755
1.578947 -8.947368 3.689851
2.631579 -8.947368 3.940224
3.684211 -8.947368 3.936103
4.736842 -8.947368 3.678605
5.789474 -8.947368 3.237428
6.842105 -8.947368 2.731985
7.894737 -8.947368 2.299086
8.947368 -8.947368 2.055906
10.0 -8.947368 2.068266
-10.0 -7.894737 3.691737
-8.947368 -7.894737 3.700914
-7.894737 -7.894737 3.520372
-6.842105 -7.894737 3.19898
-5.789474 -7.894737 2.823729
-4.736842 -7.894737 2.49619
-3.684211 -7.894737 2.305019
-2.631579 -7.894737 2.30196
-1.578947 -7.894737 2.487841
-0.526316 -7.894737 2.81235
0.526316 -7.894737 3.18765
1.578947 -7.894737 3.512159
2.631579 -7.894737 3.69804
3.684211 -7.894737 3.694981
4.736842 -7.894737 3.50381
5.789474 -7.894737 3.176271
6.842105 -7.894737 2.80102
7.894737 -7.894737 2.479628
8.947368 -7.894737 2.299086
10.0 -7.894737 2.308263
-10.0 -6.842105 3.264506
-8.947368 -6.842105 3.268015
-7.894737 -6.842105 3.19898
-6.842105 -6.842105 3.076086
-5.789474 -6.842105 2.932598
-4.736842 -6.842105 2.807353
-3.684211 -6.842105 2.734253
-2.631579 -6.842105 2.733084
-1.578947 -6.842105 2.804161
-0.526316 -6.842105 2.928246
0.526316 -6.842105 3.071754
1.578947 -6.842105 3.195839
2.631579 -6.842105 3.266916
3.684211 -6.842105 3.265747
4.736842 -6.842105 3.192647
5.789474 -6.842105 3.067402
6.842105 -6.842105 2.923914
7.894737 -6.842105 2.80102
8.947368 -6.842105 2.731985
10.0 -6.842105 2.735494
-10.0 -5.789474 2.765681
-8.947368 -5.789474 2.762572
-7.894737 -5.789474 2.823729
-6.842105 -5.789474 2.932598
-5.789474 -5.789474 3.05971
-4.736842 -5.789474 3.170661
-3.684211 -5.789474 3.235418
-2.631579 -5.789474 3.236454
-1.578947 -5.789474 3.173489
-0.526316 -5.789474 3.063565
0.526316 -5.789474 2.936435
1.578947 -5.789474 2.826511
2.631579 -5.789474 2.763546
3.684211 -5.789474 2.764582
4.736842 -5.789474 2.829339
5.789474 -5.789474 2.94029
6.842105 -5.789474 3.067402
7.894737 -5.789474 3.176271
8.947368 -5.789474 3.237428
10.0 -5.789474 3.234319
-10.0 -4.736842 2.330279
-8.947368 -4.736842 2.321395
-7.894737 -4.736842 2.49619
-6.842105 -4.736842 2.807353
-5.789474 -4.736842 3.170661
-4.736842 -4.736842 3.487775
-3.684211 -4.736842 3.672862
-2.631579 -4.736842 3.675823
-1.578947 -4.736842 3.495858
-0.526316 -4.736842 3.181678
0.526316 -4.736842 2.818322
1.578947 -4.736842 2.504142
2.631579 -4.736842 2.324177
3.684211 -4.736842 2.327138
4.736842 -4.736842 2.512225
5.789474 -4.736842 2.829339
6.842105 -4.736842 3.192647
7.894737 -4.736842 3.50381
8.947368 -4.736842 3.678605
10.0 -4.736842 3.669721
